"STATENAME","ACTIVITY.LEVEL","ACTIVITY.LEVEL.LABEL","WEEKEND","WEEK","SEASON"
"alabama",10,"High","Jan-26-2019",4,"2018-19"
"alaska",10,"High","Jan-26-2019",4,"2018-19"
"arizona",6,"Moderate","Jan-26-2019",4,"2018-19"
"arkansas",10,"High","Jan-26-2019",4,"2018-19"
"california",4,"Low","Jan-26-2019",4,"2018-19"
"colorado",9,"High","Jan-26-2019",4,"2018-19"
"connecticut",8,"High","Jan-26-2019",4,"2018-19"
"delaware",1,"Minimal","Jan-26-2019",4,"2018-19"
"district of columbia",4,"Low","Jan-26-2019",4,"2018-19"
"florida",4,"Low","Jan-26-2019",4,"2018-19"
"georgia",9,"High","Jan-26-2019",4,"2018-19"
"hawaii",5,"Low","Jan-26-2019",4,"2018-19"
"idaho",5,"Low","Jan-26-2019",4,"2018-19"
"illinois",4,"Low","Jan-26-2019",4,"2018-19"
"indiana",8,"High","Jan-26-2019",4,"2018-19"
"iowa",4,"Low","Jan-26-2019",4,"2018-19"
"kansas",7,"Moderate","Jan-26-2019",4,"2018-19"
"kentucky",10,"High","Jan-26-2019",4,"2018-19"
"louisiana",10,"High","Jan-26-2019",4,"2018-19"
"maine",5,"Low","Jan-26-2019",4,"2018-19"
"maryland",7,"Moderate","Jan-26-2019",4,"2018-19"
"massachusetts",8,"High","Jan-26-2019",4,"2018-19"
"michigan",3,"Minimal","Jan-26-2019",4,"2018-19"
"minnesota",5,"Low","Jan-26-2019",4,"2018-19"
"mississippi",9,"High","Jan-26-2019",4,"2018-19"
"missouri",6,"Moderate","Jan-26-2019",4,"2018-19"
"montana",3,"Minimal","Jan-26-2019",4,"2018-19"
"nebraska",10,"High","Jan-26-2019",4,"2018-19"
"nevada",5,"Low","Jan-26-2019",4,"2018-19"
"new hampshire",5,"Low","Jan-26-2019",4,"2018-19"
"new jersey",10,"High","Jan-26-2019",4,"2018-19"
"new mexico",10,"High","Jan-26-2019",4,"2018-19"
"new york",8,"High","Jan-26-2019",4,"2018-19"
"north carolina",9,"High","Jan-26-2019",4,"2018-19"
"north dakota",2,"Minimal","Jan-26-2019",4,"2018-19"
"ohio",2,"Minimal","Jan-26-2019",4,"2018-19"
"oklahoma",10,"High","Jan-26-2019",4,"2018-19"
"oregon",4,"Low","Jan-26-2019",4,"2018-19"
"pennsylvania",7,"Moderate","Jan-26-2019",4,"2018-19"
"rhode island",10,"High","Jan-26-2019",4,"2018-19"
"south carolina",10,"High","Jan-26-2019",4,"2018-19"
"south dakota",4,"Low","Jan-26-2019",4,"2018-19"
"tennessee",6,"Moderate","Jan-26-2019",4,"2018-19"
"texas",10,"High","Jan-26-2019",4,"2018-19"
"utah",9,"High","Jan-26-2019",4,"2018-19"
"vermont",9,"High","Jan-26-2019",4,"2018-19"
"virginia",10,"High","Jan-26-2019",4,"2018-19"
"washington",4,"Low","Jan-26-2019",4,"2018-19"
"west virginia",7,"Moderate","Jan-26-2019",4,"2018-19"
"wisconsin",4,"Low","Jan-26-2019",4,"2018-19"
"wyoming",8,"High","Jan-26-2019",4,"2018-19"
"new york city",9,"High","Jan-26-2019",4,"2018-19"
"puerto rico",6,"Moderate","Jan-26-2019",4,"2018-19"
"virgin islands",3,"Minimal","Jan-26-2019",4,"2018-19"
