"Statelocation","Freq"
"alabama",34
"arizona",48
"arkansas",52
"california",403
"colorado",80
"connecticut",33
"delaware",10
"district of columbia",77
"florida",176
"georgia",145
"idaho",7
"illinois",161
"indiana",100
"iowa",54
"kansas",481
"kentucky",57
"louisiana",79
"maine",13
"maryland",83
"massachusetts",90
"michigan",102
"minnesota",55
"mississippi",24
"missouri",100
"montana",15
"nebraska",21
"nevada",54
"new hampshire",15
"new jersey",103
"new mexico",13
"new york",182
"north carolina",109
"north dakota",5
"ohio",156
"oklahoma",140
"oregon",127
"pennsylvania",159
"rhode island",8
"south carolina",31
"south dakota",9
"tennessee",84
"texas",426
"utah",32
"vermont",15
"virginia",102
"washington",46
"west virginia",26
"wisconsin",59
"wyoming",6
